date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:38:01	43/43	---M--	404	error ('Not%20Found')	application/json	date:Wed,%2015%20Oct%202025%2019:38:01%20GMT	https://f005.backblazeb2.com/robots.txt		(from )
03:38:02	677201/677201	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Oct%202025%2019:38:00%20GMT	https://f005.backblazeb2.com/file/pako54/roger-access/index.html	C:/My%20Web%20Sites/TD%20Bank%20login/f005.backblazeb2.com/file/pako54/roger-access/index.html	(from )
03:38:02	94/94	---M--	404	error ('Not%20Found')	application/json	date:Wed,%2015%20Oct%202025%2019:38:03%20GMT	https://f005.backblazeb2.com/file/pako54/roger-access/assets/ngp-icons.d7ee513645796f9a7b9c.ttf?yhegp7	C:/My%20Web%20Sites/TD%20Bank%20login/f005.backblazeb2.com/file/pako54/roger-access/assets/ngp-icons.d7ee513645796f9a7b9c5b1a.ttf	(from https://f005.backblazeb2.com/file/pako54/roger-access/index.html)
03:38:03	94/94	---M--	404	error ('Not%20Found')	application/json	date:Wed,%2015%20Oct%202025%2019:38:03%20GMT	https://f005.backblazeb2.com/file/pako54/roger-access/assets/ngp-icons.cc4d43f7f0b8fecf2937.woff?yhegp7	C:/My%20Web%20Sites/TD%20Bank%20login/f005.backblazeb2.com/file/pako54/roger-access/assets/ngp-icons.cc4d43f7f0b8fecf29375b1a.woff	(from https://f005.backblazeb2.com/file/pako54/roger-access/index.html)
03:38:03	1698066/1698066	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Oct%202025%2019:38:02%20GMT	https://f005.backblazeb2.com/file/pako54/roger-access/TD%20Bank%20Online%20Banking_files/styles.48736d1e5aeadc4d2cb9.css	C:/My%20Web%20Sites/TD%20Bank%20login/f005.backblazeb2.com/file/pako54/roger-access/TD%20Bank%20Online%20Banking_files/styles.48736d1e5aeadc4d2cb9.css	(from https://f005.backblazeb2.com/file/pako54/roger-access/index.html)
03:38:03	94/94	---M--	404	error ('Not%20Found')	application/json	date:Wed,%2015%20Oct%202025%2019:38:03%20GMT	https://f005.backblazeb2.com/file/pako54/roger-access/assets/ngp-icons.ba2f1019f2e2cecde566.svg?yhegp7	C:/My%20Web%20Sites/TD%20Bank%20login/f005.backblazeb2.com/file/pako54/roger-access/assets/ngp-icons.ba2f1019f2e2cecde5665b1a.svg	(from https://f005.backblazeb2.com/file/pako54/roger-access/index.html)
03:38:03	94/94	---M--	404	error ('Not%20Found')	application/json	date:Wed,%2015%20Oct%202025%2019:38:04%20GMT	https://f005.backblazeb2.com/file/pako54/roger-access/assets/icons.ab207af30889f5164096.eot	C:/My%20Web%20Sites/TD%20Bank%20login/f005.backblazeb2.com/file/pako54/roger-access/assets/icons.ab207af30889f5164096.eot	(from https://f005.backblazeb2.com/file/pako54/roger-access/index.html)
03:38:03	94/94	---M--	404	error ('Not%20Found')	application/json	date:Wed,%2015%20Oct%202025%2019:38:04%20GMT	https://f005.backblazeb2.com/file/pako54/roger-access/assets/icons.ab207af30889f5164096.eot?	C:/My%20Web%20Sites/TD%20Bank%20login/f005.backblazeb2.com/file/pako54/roger-access/assets/icons.ab207af30889f5164096d41d.eot	(from https://f005.backblazeb2.com/file/pako54/roger-access/index.html)
03:38:04	94/94	---M--	404	error ('Not%20Found')	application/json	date:Wed,%2015%20Oct%202025%2019:38:04%20GMT	https://f005.backblazeb2.com/file/pako54/roger-access/assets/icons.21df72e92e068fd7533b.woff	C:/My%20Web%20Sites/TD%20Bank%20login/f005.backblazeb2.com/file/pako54/roger-access/assets/icons.21df72e92e068fd7533b.woff	(from https://f005.backblazeb2.com/file/pako54/roger-access/index.html)
03:38:04	94/94	---M--	404	error ('Not%20Found')	application/json	date:Wed,%2015%20Oct%202025%2019:38:04%20GMT	https://f005.backblazeb2.com/file/pako54/roger-access/assets/icons.808ed3e4d6f2805e1000.ttf	C:/My%20Web%20Sites/TD%20Bank%20login/f005.backblazeb2.com/file/pako54/roger-access/assets/icons.808ed3e4d6f2805e1000.ttf	(from https://f005.backblazeb2.com/file/pako54/roger-access/index.html)
03:38:04	94/94	---M--	404	error ('Not%20Found')	application/json	date:Wed,%2015%20Oct%202025%2019:38:05%20GMT	https://f005.backblazeb2.com/file/pako54/roger-access/assets/icons.c2b469d8bd61ba2b1a18.svg	C:/My%20Web%20Sites/TD%20Bank%20login/f005.backblazeb2.com/file/pako54/roger-access/assets/icons.c2b469d8bd61ba2b1a18.svg	(from https://f005.backblazeb2.com/file/pako54/roger-access/index.html)
03:38:05	94/94	---M--	404	error ('Not%20Found')	application/json	date:Wed,%2015%20Oct%202025%2019:38:05%20GMT	https://f005.backblazeb2.com/file/pako54/roger-access/assets/icon-help.f5a31c4cfca36d4558ea.png	C:/My%20Web%20Sites/TD%20Bank%20login/f005.backblazeb2.com/file/pako54/roger-access/assets/icon-help.f5a31c4cfca36d4558ea.png	(from https://f005.backblazeb2.com/file/pako54/roger-access/index.html)
03:38:05	94/94	---M--	404	error ('Not%20Found')	application/json	date:Wed,%2015%20Oct%202025%2019:38:05%20GMT	https://f005.backblazeb2.com/file/pako54/td-emerald/img/links/icon-help.png	C:/My%20Web%20Sites/TD%20Bank%20login/f005.backblazeb2.com/file/pako54/td-emerald/img/links/icon-help.png	(from https://f005.backblazeb2.com/file/pako54/roger-access/index.html)
03:38:05	94/94	---M--	404	error ('Not%20Found')	application/json	date:Wed,%2015%20Oct%202025%2019:38:06%20GMT	https://f005.backblazeb2.com/file/pako54/roger-access/assets/icon-help-active.ba48cd586611e8705a8f.png	C:/My%20Web%20Sites/TD%20Bank%20login/f005.backblazeb2.com/file/pako54/roger-access/assets/icon-help-active.ba48cd586611e8705a8f.png	(from https://f005.backblazeb2.com/file/pako54/roger-access/index.html)
